#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
90407	0.1402	45
90482	0.2998	8
90529	0.0132	0
97159	0.3792	1551
97367	0.2119	235
98542	0.0848	20
1900190	0.1835	0
1901068	0.043	0
1901069	0.0498	0
1901135	0.1368	37
1901136	0.0604	0
1901137	0.1282	28
1901160	0.095	0
1901161	0.0791	0
1901264	0.1094	0
1901265	0.225	275
1901269	0.1658	3
1901271	0.1658	3
1901292	0.0515	0
1901293	0.1348	30
1901360	0.2996	686
1901361	0.0556	0
1901362	0.1616	155
1901363	0.3788	1543
1901476	0.1825	7
1901564	0.275	388
1901565	0.0716	0
1901566	0.286	287
1901575	0.0938	1
1901576	0.2979	805
1901605	0.2019	63
1901606	0.0547	0
1901607	0.2625	63
1901615	0.0635	0
1901616	0.0481	0
1901657	0.0932	9
1901658	0.06	0
1901659	0.1386	22
1901677	0.2351	3
1901682	0.2053	6
1902115	0.038	0
1902208	0.038	0
1902494	0.0219	1
1902589	0.0568	10
1990204	0.1195	0
2000112	0.0843	0
2001057	0.2638	1
2001141	0.0829	0
