#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
45333	0.0065	0
45893	4.0E-4	0
45935	4.0E-4	0
46034	0.0133	0
46039	0.0061	0
46040	0.001	0
46049	0.0017	0
46116	0.0021	0
46128	0.0199	0
46129	0.0061	0
46130	0.015	0
46131	0.0021	0
46132	0.0021	0
46134	0.0021	0
46148	0.0023	0
46164	0.0014	0
46219	8.0E-4	0
46336	0.0028	0
46365	0.004	0
46379	8.0E-4	0
46390	0.0107	0
46394	0.0262	0
46395	0.0043	0
46405	3.0E-4	0
46434	0.018	0
46467	0.0017	0
46483	0.2027	0
46490	8.0E-4	0
46493	0.0014	0
46496	0.0028	0
46501	0.0016	0
46689	9.0E-4	0
46700	0.0209	0
46872	0.0877	0
46873	0.0064	0
46903	0.0119	0
46906	0.0089	0
46914	0.0391	0
46933	0.0028	0
46942	0.0042	0
46961	8.0E-4	0
46992	0.0016	0
48037	0.029	0
48038	0.0034	0
48518	6.0E-4	0
48522	6.0E-4	0
48856	0.0048	0
48869	0.0048	0
48870	0.0045	0
50136	0.0033	0
50485	0.0016	0
50497	2.0E-4	0
50524	2.0E-4	0
50787	0.0023	0
50789	0.0902	0
50790	0.004	0
50793	0.0027	0
50794	0.0848	0
50896	0.0596	0
51002	4.0E-4	0
51003	4.0E-4	0
51119	0.0028	0
51128	0.0053	0
51171	0.0621	0
51173	4.0E-4	0
51179	0.1069	0
51183	0.0017	0
51186	0.0181	0
51188	0.0133	0
51189	0.0016	0
51213	0.0071	0
51234	0.103	0
51246	0.0024	0
51252	0.0605	0
51254	4.0E-4	0
51276	0.0019	0
51301	0.0115	0
51302	4.0E-4	0
51536	0.0221	0
51539	0.0071	0
51540	0.0225	0
51607	0.0018	0
51641	0.0125	0
51649	0.0122	0
51674	0.0045	0
51701	7.0E-4	0
51704	0.0197	0
51707	0.0045	0
51716	0.0373	0
51726	3.0E-4	0
51806	2.0E-4	0
51828	2.0E-4	0
52126	2.0E-4	0
52192	2.0E-4	0
52689	0.0047	0
52803	0.0025	0
55085	0.0382	0
55086	0.0378	0
55114	0.0687	0
55129	2.0E-4	0
60089	0.013	0
60255	0.0668	0
60491	3.0E-4	0
61024	0.0021	0
61505	4.0E-4	0
65003	0.0039	0
65007	0.0933	0
65008	0.0092	0
65009	0.0041	0
70011	0.0226	0
70035	0.0024	0
70271	0.0038	0
70283	8.0E-4	0
70589	0.0026	0
70925	0.0031	0
71103	0.0053	0
71554	0.0074	0
71702	0.0356	0
71704	0.3642	16
71705	0.0074	0
71709	0.001	0
71822	0.0048	0
71840	0.032	0
71941	0.0023	0
71944	0.0754	0
72330	0.0049	0
72348	0.0018	0
72509	7.0E-4	0
72511	0.0017	0
72521	0.0238	0
72522	0.008	0
72523	0.0156	0
72524	0.0031	0
72525	0.0015	0
72527	0.0067	0
72528	0.0056	0
80090	0.0661	0
80109	2.0E-4	0
90304	0.1495	0
90305	0.0159	0
90407	0.0251	0
90482	0.0012	0
90529	0.0027	0
97159	0.2862	0
97367	0.0866	2
98542	0.0042	0
1900190	2.0E-4	0
1901068	0.0049	0
1901069	0.0042	0
1901135	0.048	0
1901136	0.021	0
1901137	0.0215	0
1901160	0.0013	0
1901161	0.0028	0
1901264	7.0E-4	0
1901265	0.1103	3
1901269	0.0014	0
1901271	0.0014	0
1901292	0.0166	0
1901293	0.0145	0
1901360	0.2038	0
1901361	0.0264	0
1901362	0.1059	1
1901363	0.284	0
1901476	0.0045	0
1901564	0.0754	0
1901565	0.0275	0
1901566	0.0394	0
1901575	0.0456	0
1901576	0.1735	0
1901605	0.0172	0
